Date/Time (UTC-06:00) Central Time (US & Canada),RadarSpeed (MPH),RadarVehiclesCount
6/25/2014 23:55,,
6/26/2014 00:00,,
6/26/2014 00:05,,
6/26/2014 00:10,,
6/26/2014 00:15,,
6/26/2014 00:20,,
6/26/2014 00:25,,
6/26/2014 00:30,,
6/26/2014 00:35,,
6/26/2014 00:40,,
6/26/2014 00:45,,
6/26/2014 00:50,,
6/26/2014 00:55,,
6/26/2014 01:00,,
6/26/2014 01:05,,
6/26/2014 01:10,,
6/26/2014 01:15,,
6/26/2014 01:20,,
6/26/2014 01:25,,
6/26/2014 01:30,,
6/26/2014 01:35,,
6/26/2014 01:40,,
6/26/2014 01:45,,
6/26/2014 01:50,,
6/26/2014 01:55,,
6/26/2014 02:00,,
6/26/2014 02:05,,
6/26/2014 02:10,,
6/26/2014 02:15,,
6/26/2014 02:20,,
6/26/2014 02:25,,
6/26/2014 02:30,,
6/26/2014 02:35,,
6/26/2014 02:40,,
6/26/2014 02:45,,
6/26/2014 02:50,,
6/26/2014 02:55,,
6/26/2014 03:00,,
6/26/2014 03:05,,
6/26/2014 03:10,,
6/26/2014 03:15,,
6/26/2014 03:20,,
6/26/2014 03:25,,
6/26/2014 03:30,,
6/26/2014 03:35,,
6/26/2014 03:40,,
6/26/2014 03:45,,
6/26/2014 03:50,,
6/26/2014 03:55,,
6/26/2014 04:00,,
6/26/2014 04:05,,
6/26/2014 04:10,,
6/26/2014 04:15,,
6/26/2014 04:20,,
6/26/2014 04:25,,
6/26/2014 04:30,,
6/26/2014 04:35,,
6/26/2014 04:40,,
6/26/2014 04:45,,
6/26/2014 04:50,,
6/26/2014 04:55,,
6/26/2014 05:00,,
6/26/2014 05:05,,
6/26/2014 05:10,,
6/26/2014 05:15,,
6/26/2014 05:20,,
6/26/2014 05:25,,
6/26/2014 05:30,,
6/26/2014 05:35,,
6/26/2014 05:40,,
6/26/2014 05:45,,
6/26/2014 05:50,,
6/26/2014 05:55,,
6/26/2014 06:00,,
6/26/2014 06:05,,
6/26/2014 06:10,,
6/26/2014 06:15,,
6/26/2014 06:20,,
6/26/2014 06:25,,
6/26/2014 06:30,,
6/26/2014 06:35,,
6/26/2014 06:40,,
6/26/2014 06:45,,
6/26/2014 06:50,,
6/26/2014 06:55,,
6/26/2014 07:00,,
6/26/2014 07:05,,
6/26/2014 07:10,,
6/26/2014 07:15,,
6/26/2014 07:20,,
6/26/2014 07:25,,
6/26/2014 07:30,,
6/26/2014 07:35,,
6/26/2014 07:40,,
6/26/2014 07:45,,
6/26/2014 07:50,,
6/26/2014 07:55,,
6/26/2014 08:00,,
6/26/2014 08:05,,
6/26/2014 08:10,,
6/26/2014 08:15,,
6/26/2014 08:20,,
6/26/2014 08:25,,
6/26/2014 08:30,,
6/26/2014 08:35,,
6/26/2014 08:40,,
6/26/2014 08:45,,
6/26/2014 08:50,,
6/26/2014 08:55,,
6/26/2014 09:00,,
6/26/2014 09:05,,
6/26/2014 09:10,,
6/26/2014 09:15,,
6/26/2014 09:20,,
6/26/2014 09:25,,
6/26/2014 09:30,,
6/26/2014 09:35,,
6/26/2014 09:40,,
6/26/2014 09:45,,
6/26/2014 09:50,,
6/26/2014 09:55,,
6/26/2014 10:00,,
