Date/Time (UTC-06:00) Central Time (US & Canada),RadarSpeed (MPH),RadarVehiclesCount
6/25/2014 23:55,,0
6/26/2014 00:00,72.22700405,18
6/26/2014 00:05,68.07466565,9
6/26/2014 00:10,71.29198875,16
6/26/2014 00:15,73.62307128,15
6/26/2014 00:20,76.63578038,5
6/26/2014 00:25,73.32180068,5
6/26/2014 00:30,,
6/26/2014 00:35,70.81230276,29
6/26/2014 00:40,72.57960718,15
6/26/2014 00:45,69.28288793,7
6/26/2014 00:50,70.42206845,16
6/26/2014 00:55,74.46591152,11
6/26/2014 01:00,72.75221082,8
6/26/2014 01:05,66.79740317,3
6/26/2014 01:10,68.81685954,18
6/26/2014 01:15,69.5904352,10
6/26/2014 01:20,71.44289301,16
6/26/2014 01:25,71.61302991,13
6/26/2014 01:30,70.00782036,9
6/26/2014 01:35,70.81042584,5
6/26/2014 01:40,71.21111099,19
6/26/2014 01:45,71.87193457,11
6/26/2014 01:50,70.35302668,19
6/26/2014 01:55,70.42206885,10
6/26/2014 02:00,68.86864087,8
6/26/2014 02:05,70.93987778,9
6/26/2014 02:10,71.97549683,8
6/26/2014 02:15,72.18262016,13
6/26/2014 02:20,71.45768711,12
6/26/2014 02:25,70.00781941,15
6/26/2014 02:30,71.11248142,9
6/26/2014 02:35,69.90425913,7
6/26/2014 02:40,69.51590213,11
6/26/2014 02:45,73.32180068,8
6/26/2014 02:50,70.62919218,8
6/26/2014 02:55,68.69603684,8
6/26/2014 03:00,71.04343965,13
6/26/2014 03:05,69.17932607,7
6/26/2014 03:10,70.42206885,8
6/26/2014 03:15,70.68097312,8
6/26/2014 03:20,72.2565932,17
6/26/2014 03:25,69.84672458,14
6/26/2014 03:30,72.49330576,11
6/26/2014 03:35,69.04124411,7
6/26/2014 03:40,74.17618607,8
6/26/2014 03:45,69.38645059,6
6/26/2014 03:50,70.72124682,23
6/26/2014 03:55,70.20015062,16
6/26/2014 04:00,70.42206885,9
6/26/2014 04:05,70.42206845,4
6/26/2014 04:10,69.3864498,14
6/26/2014 04:15,69.3864494,15
6/26/2014 04:20,69.40946425,15
6/26/2014 04:25,70.83631592,10
6/26/2014 04:30,71.23801004,15
6/26/2014 04:35,72.65440217,20
6/26/2014 04:40,73.64399351,13
6/26/2014 04:45,72.93714142,14
6/26/2014 04:50,74.56454307,15
6/26/2014 04:55,70.90004654,18
6/26/2014 05:00,71.97549643,12
6/26/2014 05:05,73.27002054,7
6/26/2014 05:10,68.66151674,38
6/26/2014 05:15,71.11248102,14
6/26/2014 05:20,73.09988254,19
6/26/2014 05:25,71.04344004,13
6/26/2014 05:30,71.91665425,19
6/26/2014 05:35,69.1102843,17
6/26/2014 05:40,71.05301267,35
6/26/2014 05:45,70.75251244,36
6/26/2014 05:50,68.48028269,14
6/26/2014 05:55,,
6/26/2014 06:00,71.94618635,59
6/26/2014 06:05,,
6/26/2014 06:10,70.75987709,95
6/26/2014 06:15,74.72806118,21
6/26/2014 06:20,,
6/26/2014 06:25,72.93543715,73
6/26/2014 06:30,71.88521165,39
6/26/2014 06:35,73.65837754,14
6/26/2014 06:40,74.99173576,57
6/26/2014 06:45,74.90975034,20
6/26/2014 06:50,,
6/26/2014 06:55,73.91046588,95
6/26/2014 07:00,73.52892441,47
6/26/2014 07:05,74.66317304,20
6/26/2014 07:10,72.9618001,41
6/26/2014 07:15,74.28837757,32
6/26/2014 07:20,72.397664,38
6/26/2014 07:25,71.8460441,32
6/26/2014 07:30,,
6/26/2014 07:35,73.5368698,109
6/26/2014 07:40,72.36385264,23
6/26/2014 07:45,,
6/26/2014 07:50,73.49732577,118
6/26/2014 07:55,,
6/26/2014 08:00,72.37146855,119
6/26/2014 08:05,71.45768711,2
6/26/2014 08:10,,
6/26/2014 08:15,73.16048225,109
6/26/2014 08:20,,
6/26/2014 08:25,,
6/26/2014 08:30,72.14860574,159
6/26/2014 08:35,73.72277106,51
6/26/2014 08:40,71.16771357,53
6/26/2014 08:45,,
6/26/2014 08:50,72.0357711,95
6/26/2014 08:55,73.13141474,38
6/26/2014 09:00,,
6/26/2014 09:05,72.08745405,111
6/26/2014 09:10,72.89029278,33
6/26/2014 09:15,80.77825499,1
6/26/2014 09:20,,
6/26/2014 09:25,72.06978315,144
6/26/2014 09:30,72.42677434,62
6/26/2014 09:35,71.42891904,45
6/26/2014 09:40,73.36495199,36
6/26/2014 09:45,74.03748782,30
6/26/2014 09:50,72.19741427,84
6/26/2014 09:55,,
6/26/2014 10:00,71.55580034,95
6/26/2014 10:05,73.81889716,31
6/26/2014 10:10,70.58139501,39
6/26/2014 10:15,72.69191522,73
6/26/2014 10:20,,
6/26/2014 10:25,72.99934633,91
6/26/2014 10:30,,
6/26/2014 10:35,,
6/26/2014 10:40,,
6/26/2014 10:45,71.77517559,274
6/26/2014 10:50,,
6/26/2014 10:55,73.27002054,33
6/26/2014 11:00,,
6/26/2014 11:05,,
6/26/2014 11:10,,
6/26/2014 11:15,,
6/26/2014 11:20,,
6/26/2014 11:25,,
6/26/2014 11:30,50.94724197,2631
6/26/2014 11:35,72.6138535,42
6/26/2014 11:40,,
6/26/2014 11:45,,
6/26/2014 11:50,73.31346182,149
6/26/2014 11:55,73.98034834,32
6/26/2014 12:00,,
6/26/2014 12:05,73.38481625,130
6/26/2014 12:10,73.02876703,27
6/26/2014 12:15,,
6/26/2014 12:20,75.0723298,103
6/26/2014 12:25,,
