Date/Time (UTC-06:00) Central Time (US & Canada),RadarSpeed (MPH),RadarVehiclesCount
4/26/2015 15:55,,
4/26/2015 16:00,62.64813989,62
4/26/2015 16:05,63.19101259,97
4/26/2015 16:10,62.52375061,103
4/26/2015 16:15,62.64708335,96
4/26/2015 16:20,63.25275718,107
4/26/2015 16:25,61.88382248,103
4/26/2015 16:30,62.82460876,104
4/26/2015 16:35,62.89750629,105
4/26/2015 16:40,63.13023605,96
4/26/2015 16:45,62.96555599,99
4/26/2015 16:50,62.92624717,112
4/26/2015 16:55,63.09164307,105
4/26/2015 17:00,64.00991963,116
4/26/2015 17:05,62.43487792,92
4/26/2015 17:10,63.08953631,107
4/26/2015 17:15,61.66671328,99
4/26/2015 17:20,62.2491824,100
4/26/2015 17:25,62.64026909,107
4/26/2015 17:30,62.74758873,103
4/26/2015 17:35,62.83347574,95
4/26/2015 17:40,62.07066239,98
4/26/2015 17:45,64.10236585,93
4/26/2015 17:50,63.14506207,93
4/26/2015 17:55,62.6412049,96
4/26/2015 18:00,64.20412183,93
4/26/2015 18:05,62.62365677,93
4/26/2015 18:10,62.22884581,92
4/26/2015 18:15,62.3893095,93
4/26/2015 18:20,63.73214862,95
4/26/2015 18:25,63.41616863,77
4/26/2015 18:30,63.26051958,97
4/26/2015 18:35,61.65227623,108
4/26/2015 18:40,64.19858187,95
4/26/2015 18:45,63.20074237,85
4/26/2015 18:50,63.62579417,88
4/26/2015 18:55,64.02804328,76
4/26/2015 19:00,61.03901327,82
4/26/2015 19:05,62.71424465,75
4/26/2015 19:10,62.29246202,90
4/26/2015 19:15,62.84459644,85
4/26/2015 19:20,62.77210377,90
4/26/2015 19:25,61.02737963,96
4/26/2015 19:30,62.28413643,87
4/26/2015 19:35,63.36682283,93
4/26/2015 19:40,63.07236744,77
4/26/2015 19:45,62.98422197,90
4/26/2015 19:50,62.45780956,88
4/26/2015 19:55,62.89817473,86
4/26/2015 20:00,61.41514499,65
4/26/2015 20:05,61.40613105,81
4/26/2015 20:10,60.41002569,69
4/26/2015 20:15,60.73322196,91
4/26/2015 20:20,61.95850819,66
4/26/2015 20:25,61.97796207,71
4/26/2015 20:30,61.68265052,77
4/26/2015 20:35,61.65845501,73
4/26/2015 20:40,63.05480984,73
4/26/2015 20:45,62.5291749,65
4/26/2015 20:50,60.48893346,72
4/26/2015 20:55,62.17594923,61
4/26/2015 21:00,60.36726376,67
4/26/2015 21:05,61.10150025,64
4/26/2015 21:10,62.10605066,67
4/26/2015 21:15,60.94898196,64
4/26/2015 21:20,59.79623201,65
4/26/2015 21:25,60.95243412,61
4/26/2015 21:30,58.48839148,68
4/26/2015 21:35,60.60793132,64
4/26/2015 21:40,60.74039462,66
4/26/2015 21:45,61.5400943,62
4/26/2015 21:50,60.77403832,64
4/26/2015 21:55,59.72937412,51
4/26/2015 22:00,61.02483767,64
4/26/2015 22:05,60.89141865,44
4/26/2015 22:10,60.32478721,68
4/26/2015 22:15,61.96496501,56
4/26/2015 22:20,61.40239823,48
4/26/2015 22:25,61.45657005,59
4/26/2015 22:30,60.20643125,62
4/26/2015 22:35,61.46930258,39
4/26/2015 22:40,60.95677944,53
4/26/2015 22:45,61.08029422,46
4/26/2015 22:50,60.3277454,46
4/26/2015 22:55,59.77245653,42
4/26/2015 23:00,61.48077884,39
4/26/2015 23:05,60.97373023,41
4/26/2015 23:10,59.89170943,42
4/26/2015 23:15,60.72389798,49
4/26/2015 23:20,59.4652231,31
4/26/2015 23:25,61.79191385,35
4/26/2015 23:30,58.78704995,43
4/26/2015 23:35,59.47409956,30
4/26/2015 23:40,58.35711145,25
4/26/2015 23:45,60.83322578,30
4/26/2015 23:50,60.16944441,32
4/26/2015 23:55,60.47448006,28
4/27/2015 0:00,62.33482858,26
4/27/2015 0:05,59.65163445,19
4/27/2015 0:10,58.99327762,18
4/27/2015 0:15,60.2730047,18
4/27/2015 0:20,61.21541799,32
4/27/2015 0:25,59.50664816,26
4/27/2015 0:30,60.23158153,24
4/27/2015 0:35,58.20176866,27
4/27/2015 0:40,59.3202368,23
4/27/2015 0:45,61.40725554,33
4/27/2015 0:50,59.61020939,16
4/27/2015 0:55,59.06478494,27
4/27/2015 1:00,57.82894594,18
4/27/2015 1:05,60.52155412,22
4/27/2015 1:10,61.35004873,16
4/27/2015 1:15,58.8438519,15
4/27/2015 1:20,60.89437684,19
4/27/2015 1:25,59.36166092,25
4/27/2015 1:30,60.00670425,24
4/27/2015 1:35,59.4168937,26
4/27/2015 1:40,60.19533425,15
4/27/2015 1:45,62.530654,21
4/27/2015 1:50,59.96232005,16
4/27/2015 1:55,57.43245203,20
4/27/2015 2:00,60.89437684,17
4/27/2015 2:05,62.9064349,17
4/27/2015 2:10,61.5009533,17
4/27/2015 2:15,59.1338245,18
4/27/2015 2:20,60.22122408,18
4/27/2015 2:25,58.49765952,27
4/27/2015 2:30,60.05700577,21
4/27/2015 2:35,56.57066856,12
4/27/2015 2:40,59.65163445,19
4/27/2015 2:45,60.69633113,25
4/27/2015 2:50,60.52451326,24
4/27/2015 2:55,59.44451104,28
4/27/2015 3:00,55.9234073,2
4/27/2015 3:05,61.47136336,30
4/27/2015 3:10,59.23738668,16
4/27/2015 3:15,62.34424264,17
4/27/2015 3:20,61.40478848,27
4/27/2015 3:25,61.58676161,23
4/27/2015 3:30,62.1272567,25
4/27/2015 3:35,58.82313985,18
4/27/2015 3:40,59.1663731,25
4/27/2015 3:45,59.38237392,28
4/27/2015 3:50,61.58478949,23
4/27/2015 3:55,59.44451009,27
4/27/2015 4:00,60.86478832,27
4/27/2015 4:05,62.02172145,26
4/27/2015 4:10,62.51684533,29
4/27/2015 4:15,62.26139346,28
4/27/2015 4:20,61.11530892,32
4/27/2015 4:25,61.98670864,40
4/27/2015 4:30,63.00999708,39
4/27/2015 4:35,63.37515411,50
4/27/2015 4:40,62.30122471,45
4/27/2015 4:45,63.20725892,43
4/27/2015 4:50,60.45429612,62
4/27/2015 4:55,64.10054543,50
4/27/2015 5:00,61.6543619,60
4/27/2015 5:05,62.95485532,54
4/27/2015 5:10,62.65118025,76
4/27/2015 5:15,64.15542835,79
4/27/2015 5:20,61.92402065,70
4/27/2015 5:25,62.27886763,75
4/27/2015 5:30,63.33403245,84
4/27/2015 5:35,64.05116076,93
4/27/2015 5:40,63.32322368,101
4/27/2015 5:45,63.80143375,90
4/27/2015 5:50,63.5668646,103
4/27/2015 5:55,64.34665056,93
4/27/2015 6:00,64.5529709,113
4/27/2015 6:05,59.96822695,106
4/27/2015 6:10,61.79925717,101
4/27/2015 6:15,61.69209871,102
4/27/2015 6:20,58.63706698,111
4/27/2015 6:25,59.97870102,109
4/27/2015 6:30,59.29811676,119
4/27/2015 6:35,62.15297966,112
4/27/2015 6:40,62.07269615,116
4/27/2015 6:45,61.42686491,116
4/27/2015 6:50,61.88446721,108
4/27/2015 6:55,61.18523878,122
4/27/2015 7:00,62.53968405,114
4/27/2015 7:05,61.67711529,112
