Date/Time (UTC-06:00) Central Time (US & Canada),RadarVehiclesCount,RadarSpeed (MPH)
4/26/2015 15:55,,
4/26/2015 16:00,52,69.45939157
4/26/2015 16:05,95,69.88037081
4/26/2015 16:10,95,69.0309309
4/26/2015 16:15,93,69.35864125
4/26/2015 16:20,97,70.43135799
4/26/2015 16:25,83,71.13751919
4/26/2015 16:30,99,69.53831799
4/26/2015 16:35,95,69.21465903
4/26/2015 16:40,102,70.45574976
4/26/2015 16:45,105,69.7192292
4/26/2015 16:50,98,68.99905548
4/26/2015 16:55,108,70.35993102
4/26/2015 17:00,90,70.78284761
4/26/2015 17:05,86,70.07120428
4/26/2015 17:10,103,71.54633794
4/26/2015 17:15,89,70.11622089
4/26/2015 17:20,86,69.86638863
4/26/2015 17:25,84,69.57373092
4/26/2015 17:30,104,70.565545
4/26/2015 17:35,101,69.60833603
4/26/2015 17:40,108,70.08765162
4/26/2015 17:45,85,69.83788857
4/26/2015 17:50,92,71.03669523
4/26/2015 17:55,89,70.3797651
4/26/2015 18:00,99,68.71090426
4/26/2015 18:05,94,69.07032695
4/26/2015 18:10,94,69.88888413
4/26/2015 18:15,87,69.29742572
4/26/2015 18:20,90,69.50625673
4/26/2015 18:25,79,70.79704218
4/26/2015 18:30,97,69.49236557
4/26/2015 18:35,80,69.69957242
4/26/2015 18:40,90,70.17728661
4/26/2015 18:45,82,70.05201446
4/26/2015 18:50,85,70.47636416
4/26/2015 18:55,84,70.31036999
4/26/2015 19:00,86,70.96913003
4/26/2015 19:05,97,70.17809253
4/26/2015 19:10,83,68.73744547
4/26/2015 19:15,78,70.8210272
4/26/2015 19:20,96,70.09339543
4/26/2015 19:25,86,69.82048172
4/26/2015 19:30,82,70.46335762
4/26/2015 19:35,79,68.96403414
4/26/2015 19:40,79,68.93123238
4/26/2015 19:45,71,68.97048716
4/26/2015 19:50,78,66.81799955
4/26/2015 19:55,72,69.01211702
4/26/2015 20:00,82,71.08945527
4/26/2015 20:05,78,69.74157775
4/26/2015 20:10,79,69.87944922
4/26/2015 20:15,62,68.18035229
4/26/2015 20:20,64,70.00486217
4/26/2015 20:25,71,68.35536135
4/26/2015 20:30,68,68.21772027
4/26/2015 20:35,78,68.54827787
4/26/2015 20:40,71,70.04196278
4/26/2015 20:45,75,69.07489413
4/26/2015 20:50,68,69.38707683
4/26/2015 20:55,67,70.49625466
4/26/2015 21:00,81,69.47549537
4/26/2015 21:05,64,70.09919898
4/26/2015 21:10,74,70.46309403
4/26/2015 21:15,65,67.15742224
4/26/2015 21:20,68,68.7597229
4/26/2015 21:25,60,69.63302552
4/26/2015 21:30,61,69.7350887
4/26/2015 21:35,66,71.18660899
4/26/2015 21:40,55,69.64296389
4/26/2015 21:45,69,69.33045882
4/26/2015 21:50,65,71.64221546
4/26/2015 21:55,61,66.8443644
4/26/2015 22:00,56,68.74624892
4/26/2015 22:05,45,67.83741485
4/26/2015 22:10,54,69.34161745
4/26/2015 22:15,50,67.82650274
4/26/2015 22:20,51,70.70088874
4/26/2015 22:25,49,68.8667581
4/26/2015 22:30,45,68.64457069
4/26/2015 22:35,59,67.61554222
4/26/2015 22:40,38,66.82187079
4/26/2015 22:45,47,67.39806135
4/26/2015 22:50,40,67.99145776
4/26/2015 22:55,49,68.69917486
4/26/2015 23:00,30,70.17943793
4/26/2015 23:05,41,66.22041617
4/26/2015 23:10,27,67.30929485
4/26/2015 23:15,41,68.42252738
4/26/2015 23:20,35,67.48091148
4/26/2015 23:25,31,67.49274707
4/26/2015 23:30,31,67.57694166
4/26/2015 23:35,32,67.40398057
4/26/2015 23:40,44,67.45890806
4/26/2015 23:45,28,66.70567753
4/26/2015 23:50,36,66.9216774
4/26/2015 23:55,24,68.18809098
4/27/2015 0:00,24,64.68474111
4/27/2015 0:05,31,68.05395422
4/27/2015 0:10,23,65.62237437
4/27/2015 0:15,20,66.19378584
4/27/2015 0:20,15,64.98507092
4/27/2015 0:25,30,69.37461357
4/27/2015 0:30,23,66.00342834
4/27/2015 0:35,25,68.44968512
4/27/2015 0:40,26,67.79973351
4/27/2015 0:45,27,67.12288349
4/27/2015 0:50,15,64.0789042
4/27/2015 0:55,11,71.04343933
4/27/2015 1:00,10,68.55795551
4/27/2015 1:05,18,64.50609689
4/27/2015 1:10,15,63.87695856
4/27/2015 1:15,16,66.27959415
4/27/2015 1:20,13,67.6258973
4/27/2015 1:25,10,63.62841009
4/27/2015 1:30,14,68.97220234
4/27/2015 1:35,17,67.02523959
4/27/2015 1:40,18,66.48671757
4/27/2015 1:45,18,69.06096979
4/27/2015 1:50,14,67.19093794
4/27/2015 1:55,16,64.8987691
4/27/2015 2:00,16,66.69384098
4/27/2015 2:05,17,60.95651396
4/27/2015 2:10,24,69.01658559
4/27/2015 2:15,17,67.46315761
4/27/2015 2:20,12,62.71706535
4/27/2015 2:25,20,69.1586137
4/27/2015 2:30,23,66.21486767
4/27/2015 2:35,14,66.69384098
4/27/2015 2:40,22,66.50742963
4/27/2015 2:45,15,65.12561922
4/27/2015 2:50,23,67.58447271
4/27/2015 2:55,11,65.89123763
4/27/2015 3:00,18,67.72945995
4/27/2015 3:05,11,65.58918088
4/27/2015 3:10,26,64.96153341
4/27/2015 3:15,21,63.88287683
4/27/2015 3:20,13,66.90096535
4/27/2015 3:25,28,68.10918606
4/27/2015 3:30,28,67.30337658
4/27/2015 3:35,21,66.63170386
4/27/2015 3:40,20,67.59630926
4/27/2015 3:45,34,66.79740222
4/27/2015 3:50,18,68.22137842
4/27/2015 3:55,30,64.82972836
4/27/2015 4:00,24,65.89493489
4/27/2015 4:05,35,67.97641461
4/27/2015 4:10,28,66.72343045
4/27/2015 4:15,38,67.38048763
4/27/2015 4:20,31,69.54327201
4/27/2015 4:25,34,68.94014772
4/27/2015 4:30,37,67.35219901
4/27/2015 4:35,35,66.88025234
4/27/2015 4:40,42,67.38618499
