Date/Time (UTC-06:00) Central Time (US & Canada),RadarSpeed (MPH),RadarVehiclesCount
6/25/2014 23:55,,
6/26/2014 00:00,,
6/26/2014 00:05,71.81479587,32
6/26/2014 00:10,72.94897797,16
6/26/2014 00:15,73.01111509,10
6/26/2014 00:20,77.67139903,7
6/26/2014 00:25,71.11248221,9
6/26/2014 00:30,72.14810007,10
6/26/2014 00:35,67.49644576,8
6/26/2014 00:40,74.88319539,16
6/26/2014 00:45,70.68097312,12
6/26/2014 00:50,75.03057146,12
6/26/2014 00:55,73.67686953,12
6/26/2014 01:00,69.3864494,7
6/26/2014 01:05,71.66481084,12
6/26/2014 01:10,69.59357353,11
6/26/2014 01:15,69.04124411,26
6/26/2014 01:20,70.4590545,11
6/26/2014 01:25,67.05630783,11
6/26/2014 01:30,69.90425913,8
6/26/2014 01:35,74.04673374,8
6/26/2014 01:40,72.42426399,14
6/26/2014 01:45,69.73165549,10
6/26/2014 01:50,70.99741233,17
6/26/2014 01:55,70.93987778,11
6/26/2014 02:00,68.50617394,10
6/26/2014 02:05,74.40920027,11
6/26/2014 02:10,72.64125151,10
6/26/2014 02:15,69.38645059,7
6/26/2014 02:20,71.97549564,16
6/26/2014 02:25,70.9398762,12
6/26/2014 02:30,72.2344011,9
6/26/2014 02:35,70.83631592,9
6/26/2014 02:40,70.12617538,7
6/26/2014 02:45,71.45768711,16
6/26/2014 02:50,68.69603684,6
6/26/2014 02:55,70.42206845,7
6/26/2014 03:00,69.53439555,9
6/26/2014 03:05,71.45768711,6
6/26/2014 03:10,69.12754514,7
6/26/2014 03:15,66.79740317,6
6/26/2014 03:20,69.50151889,20
6/26/2014 03:25,70.87515161,7
6/26/2014 03:30,78.18920757,5
6/26/2014 03:35,68.86863968,7
6/26/2014 03:40,74.17618607,14
6/26/2014 03:45,72.49330655,4
6/26/2014 03:50,69.59357353,22
6/26/2014 03:55,70.31850619,13
6/26/2014 04:00,73.01111509,7
6/26/2014 04:05,69.38645059,9
6/26/2014 04:10,68.5694621,23
6/26/2014 04:15,66.02068918,6
6/26/2014 04:20,71.13489696,22
6/26/2014 04:25,64.72616586,4
6/26/2014 04:30,71.45768711,12
6/26/2014 04:35,72.6905657,16
6/26/2014 04:40,74.56454307,15
6/26/2014 04:45,75.49659986,11
6/26/2014 04:50,75.60016172,14
6/26/2014 04:55,,
6/26/2014 05:00,72.3991589,41
6/26/2014 05:05,70.79028859,22
6/26/2014 05:10,70.42206845,14
6/26/2014 05:15,71.54398814,21
6/26/2014 05:20,70.34809637,16
6/26/2014 05:25,71.71659019,15
6/26/2014 05:30,,
6/26/2014 05:35,72.26244463,62
6/26/2014 05:40,71.82923244,28
6/26/2014 05:45,,
6/26/2014 05:50,69.7847654,55
6/26/2014 05:55,69.83028546,23
6/26/2014 06:00,,
6/26/2014 06:05,70.05080795,59
6/26/2014 06:10,,
6/26/2014 06:15,74.4271248,81
6/26/2014 06:20,73.83183213,38
6/26/2014 06:25,75.18591426,10
6/26/2014 06:30,73.40605216,59
6/26/2014 06:35,73.87412853,9
6/26/2014 06:40,74.56454307,69
6/26/2014 06:45,,0
6/26/2014 06:50,74.22866547,74
6/26/2014 06:55,74.97878895,15
6/26/2014 07:00,,
