Date/Time (UTC-06:00) Central Time (US & Canada),RadarSpeed (MPH),RadarVehiclesCount
4/26/2015 15:55,,
4/26/2015 16:00,72.23863137,51
4/26/2015 16:05,71.23257753,91
4/26/2015 16:10,72.34691749,94
4/26/2015 16:15,73.69430601,99
4/26/2015 16:20,70.0050499,111
4/26/2015 16:25,73.80986853,98
4/26/2015 16:30,72.32032319,84
4/26/2015 16:35,71.42686696,101
4/26/2015 16:40,72.28859852,85
4/26/2015 16:45,71.74527229,94
4/26/2015 16:50,73.38600095,95
4/26/2015 16:55,72.04202785,104
4/26/2015 17:00,72.27304907,90
4/26/2015 17:05,71.75055246,100
4/26/2015 17:10,71.44797534,98
4/26/2015 17:15,73.46926636,96
4/26/2015 17:20,69.4643832,108
4/26/2015 17:25,72.1128281,108
4/26/2015 17:30,70.92586937,91
4/26/2015 17:35,72.86614965,88
4/26/2015 17:40,70.63067159,82
4/26/2015 17:45,73.34612894,88
4/26/2015 17:50,71.84878517,101
4/26/2015 17:55,70.66022313,80
4/26/2015 18:00,72.94030062,105
4/26/2015 18:05,72.99162897,95
4/26/2015 18:10,72.5354375,103
4/26/2015 18:15,71.55579845,86
4/26/2015 18:20,72.84727129,91
4/26/2015 18:25,71.63200782,94
4/26/2015 18:30,73.3513892,83
4/26/2015 18:35,70.12461948,80
4/26/2015 18:40,71.91553592,98
4/26/2015 18:45,73.88150598,77
4/26/2015 18:50,71.68331911,84
4/26/2015 18:55,73.17868127,80
4/26/2015 19:00,72.03400472,80
4/26/2015 19:05,73.2965717,79
4/26/2015 19:10,72.78467148,74
4/26/2015 19:15,73.93750012,81
4/26/2015 19:20,71.80458017,74
4/26/2015 19:25,71.5989074,78
4/26/2015 19:30,70.93494589,77
4/26/2015 19:35,73.12960379,76
4/26/2015 19:40,71.53326312,85
4/26/2015 19:45,71.89853772,80
4/26/2015 19:50,73.89565124,58
4/26/2015 19:55,70.6942641,77
4/26/2015 20:00,71.54151476,71
4/26/2015 20:05,69.55881103,61
4/26/2015 20:10,69.03176052,72
4/26/2015 20:15,70.4531367,60
4/26/2015 20:20,68.92275035,57
4/26/2015 20:25,68.80650304,65
4/26/2015 20:30,68.68058663,55
4/26/2015 20:35,69.85018497,67
4/26/2015 20:40,68.59224679,75
4/26/2015 20:45,67.00351871,64
4/26/2015 20:50,69.77716039,52
4/26/2015 20:55,69.12602432,57
4/26/2015 21:00,69.57631364,41
4/26/2015 21:05,68.68592748,61
4/26/2015 21:10,71.62042727,58
4/26/2015 21:15,68.46748047,56
4/26/2015 21:20,69.52984354,62
4/26/2015 21:25,69.31617608,66
4/26/2015 21:30,70.12241127,56
4/26/2015 21:35,69.29373747,42
4/26/2015 21:40,68.907455,62
4/26/2015 21:45,68.43870166,40
4/26/2015 21:50,69.46929929,48
4/26/2015 21:55,69.44319992,46
4/26/2015 22:00,69.04124284,51
4/26/2015 22:05,69.99006649,39
4/26/2015 22:10,71.88574261,45
4/26/2015 22:15,69.78366176,44
4/26/2015 22:20,69.64880726,36
4/26/2015 22:25,69.46140889,43
4/26/2015 22:30,70.28891649,31
4/26/2015 22:35,68.27932359,47
4/26/2015 22:40,68.10031054,40
4/26/2015 22:45,70.69906737,41
4/26/2015 22:50,67.97800843,29
4/26/2015 22:55,70.82645244,34
4/26/2015 23:00,67.64661078,27
4/26/2015 23:05,69.00622909,30
4/26/2015 23:10,69.25625761,28
4/26/2015 23:15,67.08589666,24
4/26/2015 23:20,68.32070409,29
4/26/2015 23:25,69.03433946,21
4/26/2015 23:30,70.07686181,21
4/26/2015 23:35,66.02068918,19
4/26/2015 23:40,68.04014555,27
4/26/2015 23:45,69.92497213,21
4/26/2015 23:50,67.91685643,28
4/26/2015 23:55,66.5015123,24
4/27/2015 00:00,65.50288016,18
4/27/2015 00:05,67.72945995,19
4/27/2015 00:10,70.52563032,16
4/27/2015 00:15,68.45439333,33
4/27/2015 00:20,67.43948641,18
4/27/2015 00:25,68.14370773,25
4/27/2015 00:30,67.52381563,29
4/27/2015 00:35,67.00452753,18
4/27/2015 00:40,66.71455399,22
4/27/2015 00:45,69.84212201,18
4/27/2015 00:50,69.80069789,16
4/27/2015 00:55,70.25636979,18
4/27/2015 01:00,65.89123645,15
4/27/2015 01:05,66.23816909,13
4/27/2015 01:10,73.11467727,16
4/27/2015 01:15,68.86864087,20
4/27/2015 01:20,68.91006522,14
4/27/2015 01:25,69.26217493,20
4/27/2015 01:30,71.04343933,12
4/27/2015 01:35,65.9481965,21
4/27/2015 01:40,65.86534638,12
4/27/2015 01:45,66.48671757,12
4/27/2015 01:50,71.94097539,13
4/27/2015 01:55,68.55795456,29
4/27/2015 02:00,69.51590213,9
4/27/2015 02:05,67.36452669,15
4/27/2015 02:10,65.24397518,12
4/27/2015 02:15,71.66481052,11
4/27/2015 02:20,67.77088502,24
4/27/2015 02:25,62.551367,16
4/27/2015 02:30,68.11781695,19
4/27/2015 02:35,65.45109813,19
4/27/2015 02:40,67.57411716,13
4/27/2015 02:45,68.5372425,15
4/27/2015 02:50,67.37439111,26
4/27/2015 02:55,66.04288151,16
4/27/2015 03:00,59.03026326,2
4/27/2015 03:05,67.3152117,25
4/27/2015 03:10,70.07686181,24
4/27/2015 03:15,64.53383654,24
4/27/2015 03:20,68.66151674,18
4/27/2015 03:25,66.02808654,24
4/27/2015 03:30,68.92042101,20
4/27/2015 03:35,68.24726991,21
