Date/Time (UTC-06:00) Central Time (US & Canada),RadarVehiclesCount,RadarSpeed (MPH)
4/26/2015 15:55,,
4/26/2015 16:00,57,67.12115883
4/26/2015 16:05,100,68.99685959
4/26/2015 16:10,109,68.90436502
4/26/2015 16:15,94,66.94967305
4/26/2015 16:20,107,68.9304587
4/26/2015 16:25,93,70.08514474
4/26/2015 16:30,84,67.89260023
4/26/2015 16:35,102,69.56116051
4/26/2015 16:40,109,68.44886474
4/26/2015 16:45,97,69.12812824
4/26/2015 16:50,100,67.04643898
4/26/2015 16:55,117,67.5796429
4/26/2015 17:00,103,69.30327762
4/26/2015 17:05,84,70.11064299
4/26/2015 17:10,104,68.71017988
4/26/2015 17:15,91,68.20238415
4/26/2015 17:20,90,70.18590233
4/26/2015 17:25,95,70.34109438
4/26/2015 17:30,98,67.06352916
4/26/2015 17:35,99,67.7339911
4/26/2015 17:40,105,68.27158584
4/26/2015 17:45,96,69.19687957
4/26/2015 17:50,100,70.05046378
4/26/2015 17:55,95,69.13549053
4/26/2015 18:00,104,67.21210226
4/26/2015 18:05,104,67.55934707
4/26/2015 18:10,95,68.71494901
4/26/2015 18:15,102,69.79770368
4/26/2015 18:20,82,67.18684862
4/26/2015 18:25,98,70.14746106
4/26/2015 18:30,94,70.64118454
4/26/2015 18:35,93,68.84974473
4/26/2015 18:40,81,68.6666547
4/26/2015 18:45,102,67.38852404
4/26/2015 18:50,91,69.74175505
4/26/2015 18:55,88,68.34899555
4/26/2015 19:00,92,68.56664045
4/26/2015 19:05,90,68.10805588
4/26/2015 19:10,92,70.12614788
4/26/2015 19:15,91,67.78194788
4/26/2015 19:20,87,68.06310185
4/26/2015 19:25,90,65.97019897
4/26/2015 19:30,82,67.94724517
4/26/2015 19:35,99,66.89466972
4/26/2015 19:40,90,67.51574604
4/26/2015 19:45,86,69.2895742
4/26/2015 19:50,78,67.55237732
4/26/2015 19:55,82,68.38728607
4/26/2015 20:00,95,69.32378109
4/26/2015 20:05,78,66.95151339
4/26/2015 20:10,83,66.82946537
4/26/2015 20:15,62,67.51107646
4/26/2015 20:20,74,67.88135153
4/26/2015 20:25,61,65.57814709
4/26/2015 20:30,77,67.69987144
4/26/2015 20:35,86,65.13421882
4/26/2015 20:40,74,66.76348925
4/26/2015 20:45,67,66.42454916
4/26/2015 20:50,76,66.74899412
4/26/2015 20:55,64,69.68139948
4/26/2015 21:00,78,65.48184574
4/26/2015 21:05,72,66.34595143
4/26/2015 21:10,70,66.15213323
4/26/2015 21:15,71,66.05419445
4/26/2015 21:20,63,66.61099276
4/26/2015 21:25,68,67.74809749
4/26/2015 21:30,68,67.54526819
4/26/2015 21:35,69,68.97142107
4/26/2015 21:40,56,69.09647658
4/26/2015 21:45,72,66.55729406
4/26/2015 21:50,76,68.51531114
4/26/2015 21:55,60,66.49801557
4/26/2015 22:00,65,65.43847984
4/26/2015 22:05,57,65.09972844
4/26/2015 22:10,52,65.55959299
4/26/2015 22:15,49,69.07151497
4/26/2015 22:20,59,67.04981151
4/26/2015 22:25,54,64.91397793
4/26/2015 22:30,49,67.63181604
4/26/2015 22:35,61,62.97670988
4/26/2015 22:40,46,64.75723473
4/26/2015 22:45,58,64.43247404
4/26/2015 22:50,49,65.47833005
4/26/2015 22:55,41,64.87904287
4/26/2015 23:00,42,67.5193774
4/26/2015 23:05,33,67.28364964
4/26/2015 23:10,33,63.10369674
4/26/2015 23:15,40,64.66236033
4/26/2015 23:20,34,66.06408636
4/26/2015 23:25,47,62.91827144
4/26/2015 23:30,29,64.37405552
4/26/2015 23:35,26,64.45986478
4/26/2015 23:40,38,65.85593232
4/26/2015 23:45,44,63.74763929
4/26/2015 23:50,31,64.22709615
4/26/2015 23:55,32,63.06917601
4/27/2015 0:00,33,62.48815375
4/27/2015 0:05,23,61.76429651
4/27/2015 0:10,34,62.15783128
4/27/2015 0:15,20,61.43289886
4/27/2015 0:20,14,63.17273725
4/27/2015 0:25,28,63.95290435
4/27/2015 0:30,28,62.65492918
4/27/2015 0:35,21,63.89767062
4/27/2015 0:40,21,66.90096535
4/27/2015 0:45,28,62.24068141
4/27/2015 0:50,22,62.34424264
4/27/2015 0:55,21,63.65947864
4/27/2015 1:00,10,64.93328959
4/27/2015 1:05,18,59.56878528
4/27/2015 1:10,16,61.28791161
4/27/2015 1:15,13,64.99542671
4/27/2015 1:20,13,64.98507092
4/27/2015 1:25,11,63.75268432
4/27/2015 1:30,14,62.65492895
4/27/2015 1:35,17,64.33263045
4/27/2015 1:40,18,64.62260399
4/27/2015 1:45,26,63.35027309
4/27/2015 1:50,15,60.99793902
4/27/2015 1:55,18,64.82972741
4/27/2015 2:00,14,63.79410939
4/27/2015 2:05,19,64.12550704
4/27/2015 2:10,25,63.13131313
4/27/2015 2:15,23,64.99986494
4/27/2015 2:20,14,63.87695856
4/27/2015 2:25,14,65.65822296
4/27/2015 2:30,23,70.40826042
4/27/2015 2:35,14,64.43027555
4/27/2015 2:40,22,66.76781465
4/27/2015 2:45,22,63.57219124
4/27/2015 2:50,17,64.41547963
4/27/2015 2:55,18,65.14041371
4/27/2015 3:00,1,62.13711922
4/27/2015 3:05,25,64.20835574
4/27/2015 3:10,29,60.89437684
4/27/2015 3:15,28,62.52177754
4/27/2015 3:20,14,61.72287239
4/27/2015 3:25,21,63.08298468
4/27/2015 3:30,33,64.27049333
4/27/2015 3:35,24,64.96435815
4/27/2015 3:40,24,66.94239041
4/27/2015 3:45,30,65.65822296
4/27/2015 3:50,28,66.84178642
4/27/2015 3:55,22,65.59904403
4/27/2015 4:00,28,67.47795329
